metodo,documento,pergunta,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std,rougeLsum_mean,rougeLsum_std,bleu_mean,bleu_std,bertscore_precision_mean,bertscore_precision_std,bertscore_recall_mean,bertscore_recall_std,bertscore_f1_mean,bertscore_f1_std,f1_token_mean,f1_token_std,exact_match_mean,exact_match_std,latencia_segundos_mean,latencia_segundos_std,n_fontes_mean,n_fontes_std
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Em que ano o Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas foi criado no Campus de Picos?,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999403953552,0.0,0.9999999403953552,0.0,0.9999999403953552,0.0,1.0,0.0,1.0,0.0,17.731720000000003,0.042809936541260245,4.0,0.0
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Qual é a carga horária total do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas?,0.2745098039215686,0.0,0.12244897959183673,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.0,0.8147163987159729,0.0,0.9141398668289185,0.0,0.8615692853927612,0.0,0.3,0.0,0.0,0.0,25.83809,0.03586637081662428,4.0,0.0
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Qual é a unidade de oferta do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas descrita no PPC?,0.28571428571428575,0.0,0.06060606060606061,0.0,0.17142857142857143,0.0,0.17142857142857143,0.0,0.0,0.0,0.816821277141571,0.0,0.9077346920967102,0.0,0.8598816394805908,0.0,0.3636363636363636,0.0,0.0,0.0,21.384149999999998,0.047340075810857044,4.0,0.0
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Quantas vagas por ano são ofertadas no Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas?,0.33619047619047615,0.0046004370622824,0.23743315508021393,0.0034441774797835923,0.33619047619047615,0.0046004370622824,0.33619047619047615,0.0046004370622824,0.08914609827874222,0.0,0.8247347891330719,0.0005067640982263793,0.9439002215862274,0.00013051313318902615,0.880302882194519,0.000232004153372452,0.3786290322580645,0.005843297075076351,0.0,0.0,20.47315,0.04464101875579853,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 217-2024-Atualiza o Regimento Interno da Comissão Permanente de Pessoal Docente (CPPD), no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI)..pdf",Como é composta a CPPD do IFPI em número de membros titulares e suplentes?,0.27906976744186046,0.0,0.04878048780487805,0.0,0.27906976744186046,0.0,0.27906976744186046,0.0,0.0,0.0,0.8804346919059753,0.0,0.9170075058937073,0.0,0.8983490467071533,0.0,0.3684210526315789,0.0,0.0,0.0,21.41001,0.040816512181550774,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 217-2024-Atualiza o Regimento Interno da Comissão Permanente de Pessoal Docente (CPPD), no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI)..pdf",Qual é o mandato dos integrantes da CPPD do IFPI?,0.40238895110115713,0.03462491403444289,0.12282828282828284,0.02896092671938718,0.3377379619260918,0.04627147602784638,0.3377379619260918,0.04627147602784638,0.0,0.0,0.8548717021942138,0.00844220696990827,0.9034603714942933,0.003287806611171307,0.8784870743751526,0.005999950513394071,0.3469387755102041,0.043024185852631,0.0,0.0,25.48988,1.767876243657595,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 218-2024-Estab. normas, critérios e proc. para a participação de docentes (DE) em atividades remuneradas.pdf","Qual é o limite anual de horas para a participação esporádica remunerada em palestras, conferências e atividades artísticas e culturais de docentes em dedicação exclusiva?",0.3243243243243243,0.0,0.2857142857142857,0.0,0.3243243243243243,0.0,0.3243243243243243,0.0,0.16110518603734317,0.0,0.8159329891204834,0.0,0.9581412076950073,0.0,0.8813374042510986,0.0,0.48275862068965514,0.0,0.0,0.0,22.37517,0.041252395216654705,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 218-2024-Estab. normas, critérios e proc. para a participação de docentes (DE) em atividades remuneradas.pdf",Qual é o limite de carga horária para atividades remuneradas eventuais previstas no artigo 7º da Resolução Normativa nº 218 de 2024?,0.16666666666666669,0.0,0.09090909090909091,0.0,0.16666666666666669,0.0,0.16666666666666669,0.0,0.0,0.0,0.8233992457389832,0.0,0.8057843446731567,0.0,0.814496636390686,0.0,0.1,0.0,0.0,0.0,12.19718,0.03421620149058726,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 223-2024-Atualiza a Regulamentação do planejamento e o registro das atividades acadêmicas dos docentes da Carreira do Magistério do Ensino Básico, Técnico e Tecnológico do IFPI.pdf","Para cada hora de regência de aulas, quantas horas adicionais o docente computará para atividades de organização e apoio ao ensino?",0.8181818181818181,0.0,0.6666666666666666,0.0,0.8181818181818181,0.0,0.8181818181818181,0.0,0.5382008965108557,0.0,0.9565843343734741,0.0,0.9403003454208374,0.0,0.9483724236488342,0.0,0.787878787878788,0.0,0.0,0.0,16.642680000000002,0.03344507271466024,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 223-2024-Atualiza a Regulamentação do planejamento e o registro das atividades acadêmicas dos docentes da Carreira do Magistério do Ensino Básico, Técnico e Tecnológico do IFPI.pdf",Quais são os regimes de trabalho previstos para os docentes do EBTT no IFPI?,0.5332207207207207,0.013599264964517114,0.35181159420289854,0.006417276336879385,0.4926801801801801,0.07887573679419926,0.4926801801801801,0.07887573679419926,0.20692379026061847,0.027802153817286502,0.8855275511741638,0.019722080543383567,0.9408875823020935,0.007187118985038583,0.9121840238571167,0.007259904601782871,0.5615384615384615,0.01592458983097739,0.0,0.0,25.028979999999997,5.085283419131021,4.0,0.0
