rodada,seed,metodo,documento,pergunta,resposta_esperada,resposta_gerada,rouge1,rouge2,rougeL,rougeLsum,bleu,bertscore_precision,bertscore_recall,bertscore_f1,f1_token,exact_match,latencia_segundos,n_fontes
1,43,dense_no_rerank,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Em que ano o Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas foi criado no Campus de Picos?,O Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas foi criado no Campus de Picos em 2013.,O Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas foi criado no Campus de Picos em 2013.,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0,1.0,20.122,4
1,43,dense_no_rerank,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Qual é a unidade de oferta do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas descrita no PPC?,A unidade de oferta do curso é o Campus Teresina Central.,A unidade de oferta do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas é o Campus Teresina Central.,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.394100477098606,0.8748151063919067,0.9795048236846924,0.9242047071456909,0.7586206896551725,0.0,17.0186,4
1,43,dense_no_rerank,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Qual é a carga horária total do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas?,A carga horária total do curso é de 2100 horas.,A carga horária total do Curso Superior de Tecnologia em Sistemas para Internet é de 2.100 horas.,0.6428571428571429,0.46153846153846156,0.6428571428571429,0.6428571428571429,0.25772294506990867,0.8713124394416809,0.9634993672370911,0.915090024471283,0.6666666666666667,0.0,17.1664,4
1,43,dense_no_rerank,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Quantas vagas por ano são ofertadas no Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas?,O curso oferta 40 vagas por ano.,"O Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas oferece uma quantidade de 40 vagas por ano no turno vespertino, no Campus Teresina Central.",0.35294117647058826,0.25,0.35294117647058826,0.35294117647058826,0.09251599780696446,0.822972297668457,0.9461147785186768,0.8802577257156372,0.4,0.0,20.8447,4
1,43,dense_no_rerank,"RESOLUÇÃO Nº 14-2025-Aprova a Criação do Curso de Aperfeiçoamento Escola da Terra, no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI) e Anexo..pdf",Qual é a carga horária total do curso Escola da Terra?,A carga horária total do curso Escola da Terra é de 180 horas.,A carga horária total do curso Escola da Terra é de 180 horas.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.6021,4
1,43,dense_no_rerank,"RESOLUÇÃO Nº 14-2025-Aprova a Criação do Curso de Aperfeiçoamento Escola da Terra, no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI) e Anexo..pdf",Qual é a meta física do curso Escola da Terra em número de vagas?,A meta física do curso Escola da Terra é de 120 vagas.,A meta física do curso Escola da Terra é de 120 vagas para professoras e coordenadoras pedagógicas de turmas multisseriadas.,0.7272727272727273,0.7096774193548387,0.7272727272727273,0.7272727272727273,0.5471114295717522,0.8801493048667908,0.9877628684043884,0.9308561682701111,0.7741935483870968,0.0,21.0238,4
1,43,dense_no_rerank,"RESOLUÇÃO Nº 14-2025-Aprova a Criação do Curso de Aperfeiçoamento Escola da Terra, no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI) e Anexo..pdf",Quando está previsto o início do curso Escola da Terra?,O início do curso Escola da Terra está previsto para março de 2025.,"O curso de Especialização Escola da Terra está previsto para iniciar no primeiro semestre de 2025 nos campi do Instituto Federal de Educação, Ciência e Tecnologia do Piauí.",0.5217391304347827,0.27272727272727276,0.4347826086956521,0.4347826086956521,0.19037861963633804,0.8779458403587341,0.94632488489151,0.9108538031578064,0.5789473684210525,0.0,23.2785,4
1,43,dense_no_rerank,"RESOLUÇÃO Nº 14-2025-Aprova a Criação do Curso de Aperfeiçoamento Escola da Terra, no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI) e Anexo..pdf",Quem é o coordenador do curso Escola da Terra?,O coordenador do curso Escola da Terra é Gilson Mendes Araújo.,O coordenador do curso Escola da Terra é o Prof. Me. Emanuel Alcântara da Silva.,0.5384615384615385,0.5,0.5384615384615385,0.5384615384615385,0.40052744847255717,0.892876148223877,0.956995964050293,0.9238248467445374,0.6666666666666667,0.0,16.1365,4
1,43,dense_no_rerank,"RESOLUÇÃO NORMATIVA Nº 236-2025-Prorroga o Plano Diretor de Tecnologia da Informação e Comunicação (PDTIC-2022-2024), do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI) e Anexo.pdf",Para qual exercício foi prorrogada a vigência do PDTIC-2022/2024 do IFPI?,A vigência do PDTIC-2022/2024 foi prorrogada para o exercício de 2025.,A vigência do Plano Diretor de Tecnologia da Informação e Comunicação (PDTIC-2022/2024) do IFPI foi prorrogada para o exercício de 2025.,0.7142857142857143,0.6,0.7142857142857143,0.7142857142857143,0.3619779110707069,0.8878629803657532,0.9830116033554077,0.9330177307128906,0.7647058823529412,0.0,24.791,4
1,43,dense_no_rerank,"RESOLUÇÃO NORMATIVA Nº 236-2025-Prorroga o Plano Diretor de Tecnologia da Informação e Comunicação (PDTIC-2022-2024), do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI) e Anexo.pdf",Qual resolução foi revogada pela Resolução Normativa nº 236 de 2025?,"Foi revogada a Resolução Normativa nº 133/2022 - CONSELHO SUPERIOR, de 29 de abril de 2022.","A Resolução Normativa nº 236 de 2025 revogou a Resolução nº 15/2021 - CONSELHO SUPERIOR, de 19 de maio de 2021, e a Resolução NormaAva nº 206/2024- CONSELHO SUPERIOR, de 13 de maio de 2024.",0.35714285714285715,0.22222222222222218,0.35714285714285715,0.35714285714285715,0.1222627823979477,0.910374641418457,0.9322649240493774,0.9211897850036621,0.4375,0.0,41.4565,4
